model_name,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,Epochs,model_layers,model.init.name,data,attack,model,dataset
ResNet101,Conf,PGD,0.11375,0.09,1.0,41.241889462359374,94.365759535,2.206494445,0.021186384,5,20.0,101,torch_example.ResNet101,2bdee12f55c73725533b5a9a7b53354f,2bdee12f55c73725533b5a9a7b53354f,2bdee12f55c73725533b5a9a7b53354f,cifar
ResNet101,Conf,PGD,0.10525,0.08,0.449438202247191,41.74953040854275,94.357551437,2.2036176,0.021054617,3,20.0,101,torch_example.ResNet101,303ca3303abbf96d211c258030e06f75,303ca3303abbf96d211c258030e06f75,303ca3303abbf96d211c258030e06f75,cifar
ResNet101,Conf,PGD,0.0,0.09,1.0,41.39116929909993,94.205312271,2.198536585,0.021146969,9,20.0,101,torch_example.ResNet101,350510da10fda2c7a55762ef8e82ec1a,350510da10fda2c7a55762ef8e82ec1a,350510da10fda2c7a55762ef8e82ec1a,cifar
ResNet101,Conf,Pixel,0.4911666666666666,0.12,0.2247191011235954,42.05531496580706,94.205312271,2.092482248,0.020764247,5,20.0,101,torch_example.ResNet101,3853a71d0bf908b5e5b9dc16e1b8a1ad,3853a71d0bf908b5e5b9dc16e1b8a1ad,3853a71d0bf908b5e5b9dc16e1b8a1ad,cifar
ResNet101,Conf,Deep,0.0,0.16,0.449438202247191,38.14281328893599,94.386332939,2.202249723,0.021105438,0,20.0,101,torch_example.ResNet101,3b2a1cf048703929400657472ba1e2f2,3b2a1cf048703929400657472ba1e2f2,3b2a1cf048703929400657472ba1e2f2,cifar
ResNet101,Conf,HSJ,0.0,0.09,0.2247191011235954,41.70468403793979,94.758293698,2.182009098,0.02080742,4,20.0,101,torch_example.ResNet101,3c1577ff2a3adafcbb6ab05214fbf30e,3c1577ff2a3adafcbb6ab05214fbf30e,3c1577ff2a3adafcbb6ab05214fbf30e,cifar
ResNet101,Conf,FGM,0.0,0.08,0.449438202247191,41.87829390221346,94.324934183,2.196842121,0.021404185,7,20.0,101,torch_example.ResNet101,3d868238994554164f6efb4dc7d377e2,3d868238994554164f6efb4dc7d377e2,3d868238994554164f6efb4dc7d377e2,cifar
ResNet101,Conf,HSJ,0.1440833333333333,0.0,0.8988764044943821,46.23374381748565,94.324934183,2.162922397,0.021112643,7,20.0,101,torch_example.ResNet101,3f1a077da42f6ea87e0d8003c5171316,3f1a077da42f6ea87e0d8003c5171316,3f1a077da42f6ea87e0d8003c5171316,cifar
ResNet101,Conf,FGM,0.0,0.15,0.0,38.19493163421559,95.704323841,2.225426159,0.020914997,8,20.0,101,torch_example.ResNet101,47157241f0e57f9fc45d3ba8295fb499,47157241f0e57f9fc45d3ba8295fb499,47157241f0e57f9fc45d3ba8295fb499,cifar
ResNet101,Conf,Deep,0.0,0.1,0.2247191011235954,40.76509743015458,93.976806923,2.207771002,0.02114478,6,20.0,101,torch_example.ResNet101,4a21063a25507f3ad6171bb8d070d7ba,4a21063a25507f3ad6171bb8d070d7ba,4a21063a25507f3ad6171bb8d070d7ba,cifar
