model_name,dataset,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,model_layers,model.init.name,data,attack,model
ResNet34,mnist,Conf,Pixel,,,,,,3.763119573,,2,34,torch_example.ResNet34,4ca579f931aae3895b136f87c5c9120b,4ca579f931aae3895b136f87c5c9120b,4ca579f931aae3895b136f87c5c9120b
ResNet18,mnist,Gauss-out,Deep,0.9613333333333334,0.16,1.0,97.43579200537376,,0.862106196,0.026106923,0,18,torch_example.ResNet18,4ca9a8b12d9e8c58c4b97c8919ce1104,4ca9a8b12d9e8c58c4b97c8919ce1104,4ca9a8b12d9e8c58c4b97c8919ce1104
ResNet34,mnist,Control,PGD,0.3106428571428571,0.11,0.1194029850746268,106.95385508849574,,0.832134568,0.007911577,0,34,torch_example.ResNet34,4caaf18fafe573bf4e77ba4b5af41c4c,4caaf18fafe573bf4e77ba4b5af41c4c,4caaf18fafe573bf4e77ba4b5af41c4c
ResNet18,mnist,Gauss-out,PGD,0.4231666666666667,0.1,0.2929292929292929,87.37434085634595,,1.030050689,0.008062914,0,18,torch_example.ResNet18,4cae07fb0127a5dec07641450bbe1300,4cae07fb0127a5dec07641450bbe1300,4cae07fb0127a5dec07641450bbe1300
ResNet50,mnist,Control,Thresh,0.1042142857142857,0.11,0.2388059701492537,34.715623057490234,,2.563687244,0.010796586,8,50,torch_example.ResNet50,4cb09517bb709476b2db14fe388e86e9,4cb09517bb709476b2db14fe388e86e9,4cb09517bb709476b2db14fe388e86e9
ResNet18,mnist,FSQ,HSJ,0.98975,0.15,0.0666666666666666,45.191836031658646,162.424968194,1.880870694,0.018438896,0,18,torch_example.ResNet18,4cb128c4fe63f062de3b3486b4a16294,4cb128c4fe63f062de3b3486b4a16294,4cb128c4fe63f062de3b3486b4a16294
ResNet101,mnist,Control,Pixel,0.0,0.06,0.6194029850746269,25.35636207560255,,3.707156402,0.020958846,7,101,torch_example.ResNet101,4cb19cb6e6325939373ade1b226f0e91,4cb19cb6e6325939373ade1b226f0e91,4cb19cb6e6325939373ade1b226f0e91
ResNet34,mnist,Conf,Pixel,0.9835714285714284,0.07,,114.83190619725832,70.34264357,0.809879441,0.007603249,1,34,torch_example.ResNet34,4cb281e722bf6dc28c8ce4100a624287,4cb281e722bf6dc28c8ce4100a624287,4cb281e722bf6dc28c8ce4100a624287
ResNet18,mnist,Conf,PGD,0.9905833333333334,0.0,0.8988764044943821,138.31969718742056,,0.722962832,0.020794659,0,18,torch_example.ResNet18,4cb2c36f3fd16e0a47d3fb476796a820,4cb2c36f3fd16e0a47d3fb476796a820,4cb2c36f3fd16e0a47d3fb476796a820
ResNet18,mnist,FSQ,FGM,0.9653333333333334,0.1,0.0666666666666666,80.5038977250146,,1.117958292,0.008754647,0,18,torch_example.ResNet18,4cb448370a0b6edd85aff2e15db33955,4cb448370a0b6edd85aff2e15db33955,4cb448370a0b6edd85aff2e15db33955
ResNet18,mnist,FSQ,Deep,0.9840833333333332,0.15,0.4666666666666667,125.89285377998397,,0.675177323,0.022057121,0,18,torch_example.ResNet18,4cb633f2f26b01ffed031ed139886892,4cb633f2f26b01ffed031ed139886892,4cb633f2f26b01ffed031ed139886892
ResNet18,mnist,Gauss-in,Deep,0.2086666666666666,0.1,1.0,63.18415815222811,,1.424407678,0.011350068,0,18,torch_example.ResNet18,4cb7f9320d64e0ebf174a592cfb06098,4cb7f9320d64e0ebf174a592cfb06098,4cb7f9320d64e0ebf174a592cfb06098
ResNet18,mnist,Control,PGD,0.9695,0.06,0.0,60.0270655013902,,1.565960275,0.011101695,0,18,torch_example.ResNet18,4cbf175cf7c1443006abec22b2beb10d,4cbf175cf7c1443006abec22b2beb10d,4cbf175cf7c1443006abec22b2beb10d
ResNet34,mnist,Control,Deep,0.9644285714285714,0.11,0.1194029850746268,20.37829876799535,367.689011676,4.367391067,0.012112735,1,34,torch_example.ResNet34,4cc4fce3b5fb696776bb622f2f01bcb7,4cc4fce3b5fb696776bb622f2f01bcb7,4cc4fce3b5fb696776bb622f2f01bcb7
ResNet101,mnist,Control,FGM,0.3374285714285714,0.1,0.6194029850746269,7.768002344483919,624.874261826,11.585990324,0.031714114,4,101,torch_example.ResNet101,4cca336cc6d7f7e36c2eec561410e9be,4cca336cc6d7f7e36c2eec561410e9be,4cca336cc6d7f7e36c2eec561410e9be
