param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
mu_,Atk: Deep,-0.1934690774979705,0.8240953188902854,0.023213234723478256,-0.23896618152066246,-0.14797197347527852,0.7874415119969017,0.8624552862277259,0.0,-8.334429897539984,7.787249584836551e-17,53.51166374705422
mu_,Atk: FGM,-2.093509953833901,0.12325376068915829,0.028759373243862074,-2.1498772896098153,-2.0371426180579864,0.11649845246698344,0.13040078389303655,0.0,-72.79400479566101,0.0,inf
mu_,Atk: HSJ,1.4585243943281396,4.299610315661574,0.02845648043991245,1.4027507175391427,1.5142980711171365,4.066370032322576,4.546228877253568,0.0,51.2545603595603,0.0,inf
mu_,Atk: PGD,-1.0066285850519672,0.36544898514813656,0.02652195094619477,-1.058610653706247,-0.9546465163976874,0.3469374919599005,0.38494819338014685,0.0,-37.954545165026516,0.0,inf
mu_,Atk: Pixel,1.500201263717503,4.482591162517222,0.031300563564084026,1.4388532864360917,1.5615492409989145,4.215858661799862,4.766199520004543,0.0,47.928889863149806,0.0,inf
mu_,Atk: Thresh,1.9921257279079831,7.3311011367289804,0.034689951786509174,1.9241346717809942,2.060116784034972,6.849219278116371,7.846886147836921,0.0,57.42659258127638,0.0,inf
mu_,Data: cifar,0.26927141367062196,1.309010376147527,0.024596111914919956,0.22106392015766235,0.31747890718358157,1.2474031622226054,1.3736602701958724,0.0,10.947722737725975,6.813915423575726e-28,90.24550261647751
mu_,Data: cifar100,0.025040401715797838,1.025356545851353,0.020255816002231378,-0.014660268126045765,0.06474107155764144,0.9854466703844971,1.0668827423304443,0.0,1.2362079964114698,0.21638125910766237,2.2083525428726563
mu_,Data: mnist,-0.22675842507526778,0.79711332162354,0.02178362700519617,-0.2694535494581064,-0.18406330069242915,0.7637967574716539,0.8318831433809717,0.0,-10.409580783823458,2.2420678218278794e-25,81.88337245232135
mu_,Def: Conf,-0.012895413783821854,0.9871873758137067,0.023145888118141614,-0.058260520885572986,0.032469693317929274,0.9434041389373357,1.0330025857886183,0.0,-0.5571362705116726,0.5774343278891787,0.7922712179969502
mu_,Def: Control,-0.04268582881109812,0.9582123855068826,0.023152152307536967,-0.08806321349845647,0.0026915558762602362,0.9157029901041857,1.002695181364783,0.0,-1.843708880456965,0.06522557813083465,3.9384183632610625
mu_,Def: FSQ,-0.002652677023636056,0.9973508382151086,0.0221315765192686,-0.04602976992249484,0.04072441587522273,0.955013531088719,1.041565027203759,0.0,-0.11985937925960827,0.9045945430836043,0.14465680186958396
mu_,Def: Gauss-in,0.01218172859190353,1.0122562280510363,0.022522753602068884,-0.03196205730082126,0.05632551448462832,0.9685433305302574,1.057942003139013,0.0,0.5408632002609374,0.5886018772477435,0.7646359513659502
mu_,Def: Gauss-out,0.0937466354798568,1.0982814451115646,0.03191000634979323,0.031204172287817647,0.15628909867189594,1.0316961261425843,1.1691641580416694,0.0,2.937844463339139,0.003305027879663235,8.241121842979878
mu_,Epochs,-0.00016387710998992658,0.9998361363171302,0.0005661057707866368,-0.0012734240321720218,0.0009456698121921686,0.9987273864281546,1.0009461170988732,0.0,-0.28948143341165705,0.7722129859678817,0.3729292792323832
mu_,accuracy,-0.11320766890981314,0.8929651997499729,0.031330003711748156,-0.17461334782034574,-0.05180198999928054,0.8397816614134758,0.9495168620643488,0.0,-3.613394685534698,0.0003022141378261748,11.692141227006271
mu_,atk_value,0.21982898457980238,1.245863650472213,0.023898352283832136,0.17298907481364084,0.2666688943459639,1.1888531165712293,1.3056080805378039,0.0,9.198499627462704,3.629824196572993e-20,64.57866222194338
mu_,data.sample.random_state,-0.00011433942021679165,0.9998856671162857,0.0031446848399737343,-0.006277808449294414,0.006049129608860831,0.9937418558191469,1.0060674625408252,0.0,-0.036359580064546836,0.970995643288729,0.04246327238382791
mu_,def_value,0.0828472925101214,1.0863758981442095,0.024368981044741327,0.03508496732248915,0.13060961769775367,1.035707706371803,1.1395228449183323,0.0,3.399702776165084,0.000674591391393929,10.533698471618154
mu_,model_layers,0.003842054490451863,1.0038494446432311,0.00019702167147266406,0.0034558991101915587,0.004228209870712167,1.0034618776145736,1.004237161361882,0.0,19.50066945292834,1.0835476363483777e-84,278.926197390053
mu_,predict_time,0.008972636248844465,1.0090130110151565,0.0005688274022363619,0.007857755027041717,0.010087517470647213,1.0078887082051218,1.0101385679882735,0.0,15.773917032773523,4.7039726559807e-56,183.79409363982663
mu_,train_time,4.80458812043982e-05,1.0000480470354263,3.157134239864301e-06,4.185801179990593e-05,5.4233750608890467e-05,1.0000418588878588,1.0000542352212853,0.0,15.218193955054408,2.6782294122823545e-52,171.31898138954244
mu_,Intercept,1.3740027893218676,3.9511346440478974,0.037545495472483044,1.3004149704140893,1.447590608229646,3.6708196331477856,4.252855366257379,0.0,36.595676046647704,3.350845978832703e-293,971.5804064272068
sigma_,Intercept,0.44446864756051774,1.5596612458121342,0.008626668857240756,0.42756068729377256,0.4613766078272629,1.5335122415524391,1.586256135279163,0.0,51.52262766959635,0.0,inf
