covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
def_value,-0.009151249586161887,0.9908904956608897,0.023014513119963387,-0.05425886642301468,0.0359563672506909,0.9471868798831772,1.036610615333041,0.0,-0.3976295104945694,0.6909033041666732,0.5334442834935818
model_layers,-0.006318972548427071,0.9937009501728093,0.00020211754788549056,-0.0067151156629261825,-0.00592282943392796,0.9933073803436631,0.994094675942819,0.0,-31.263849252748095,1.4474459006235923e-214,710.3591028784829
predict_time,-0.01707891503419026,0.9830661028786466,0.0010811139758182303,-0.019197859489976897,-0.01495997057840362,0.9809852457991406,0.9851513738534727,0.0,-15.797515725633138,3.236206951246596e-56,184.33366944449347
accuracy,0.02443211834098544,1.0247330281682026,0.03106530103949366,-0.03645475286531684,0.08531898954728771,0.9642017202744314,1.089064411459358,0.0,0.7864761493836683,0.4315885866274788,1.2122713816686066
data.sample.random_state,-0.0016278959353123294,0.9983734283685688,0.002869595490751923,-0.00725219974738464,0.003996407876759982,0.9927740339974432,1.0040044041633112,0.0,-0.5672910835546965,0.5705164339172184,0.8096596504603548
train_time,-4.5808530387361125e-05,0.9999541925188073,5.877202200390612e-06,-5.732763502998628e-05,-3.428942574473597e-05,0.9999426740081676,0.9999657111621308,0.0,-7.794275035205796,6.4779311942655245e-15,47.13338827876781
atk_value,-0.5760025954503394,0.5621409861859157,0.023333034349661348,-0.6217345024257116,-0.5302706884749672,0.5370121803976778,0.5884456626590147,0.0,-24.686141837300273,1.506720463752847e-134,444.54695293099354
Epochs,0.0005079103874383544,1.0005080393957597,0.0005877130576643563,-0.000643986038827696,0.0016598068137044049,0.9993562212756765,1.0016611850554666,0.0,0.8642149103456243,0.3874698428574298,1.3678440664439881
Atk: Deep,0.20452896493141787,1.2269469937666075,0.036418180703591325,0.1331506423699073,0.2759072874929284,1.1424220825389304,1.3177256887115678,0.0,5.616122523969149,1.9529020575910653e-08,25.609805162445053
Atk: FGM,3.2850557526919784,26.71047345417372,0.04117608498235654,3.204352109102199,3.365759396281758,24.639531116026063,28.955477634153375,0.0,79.78067254571641,0.0,inf
Atk: HSJ,-1.9536682029550727,0.1417531374468931,0.039011448684753015,-2.030129237361921,-1.8772071685482243,0.13131854878896843,0.15301685985221444,0.0,-50.079355389809756,0.0,inf
Atk: PGD,1.4329611298837615,4.191091201095313,0.03831023742460252,1.357874444292362,1.5080478154751609,3.8879205211272985,4.517902400640002,0.0,37.40413075496958,3.347633577623012e-306,1014.7668554122672
Atk: Pixel,-2.4293322972058906,0.08809563465044029,0.040961739893257916,-2.5096158321407738,-2.3490487622710075,0.08129946588413625,0.09545992412206251,0.0,-59.307351287725595,0.0,inf
Atk: Thresh,-3.1193122445211228,0.04418754819993788,0.04352092458336376,-3.2046116892783996,-3.034012799763846,0.04057465415247152,0.04812214562777483,0.0,-71.67385055310857,0.0,inf
Def: Conf,0.02030218467635741,1.0205096758233414,0.03487895361004637,-0.048059308217776785,0.0886636775704916,0.9530772600875644,1.09271309059811,0.0,0.5820755090115336,0.5605158208793277,0.8351730003900673
Def: Control,-0.03922330302227498,0.9615359712830386,0.035434740185503286,-0.10867411758739556,0.030227511542845607,0.8970226937914109,1.030689000925329,0.0,-1.1069166252366551,0.26832997721631036,1.8979198566682147
Def: FSQ,0.0349355385470613,1.0355529534001002,0.034251745297898956,-0.0321966486444598,0.1020677257385824,0.9683161452978625,1.1074584726311671,0.0,1.019963749094102,0.30774565355947725,1.7001896139127028
Def: Gauss-in,0.03151937187836062,1.0320213675944025,0.0344873254948077,-0.036074544014572475,0.09911328777129372,0.9645683880031232,1.104191383854446,0.0,0.913940742755076,0.360747983602032,1.4709367640807405
Def: Gauss-out,-0.10295275114381912,0.9021695989561379,0.040067521689256244,-0.1814836506045388,-0.02442185168309942,0.8340318811090621,0.9758739488451854,0.0,-2.5694813855039356,0.010185086353383398,6.617397977652577
Data: cifar,-0.10238587339272438,0.9026811638131688,0.03880761194219816,-0.17844739512543928,-0.0263243516600095,0.836568063277937,0.9740191136514624,0.0,-2.638293578724262,0.008332441144679941,6.9070450626149835
Data: cifar100,-0.010215151363302746,0.9898368460908135,0.03685082040810498,-0.08244143216394212,0.06201112943733663,0.9208653693694477,1.0639741860961716,0.0,-0.2772028207289524,0.7816243738417534,0.35545263849156894
Data: mnist,0.08704137903632525,1.090941820905558,0.0377233350636079,0.013105000934916775,0.1609777571377337,1.0131912478029572,1.1746588407484866,0.0,2.307361713633188,0.021034663750335723,5.571087433688486
