Distribution,AIC,Concordance,BIC,Mean $S(t;\theta)$,Median $S(t;\theta)$
weibull,14520.321935778178,0.5905841264540547,14520.321935778178,175.1910322545761,8.284324042637968
log_logistic,14617.732406190387,0.5875111315188958,14617.732406190387,--,5.044671898745635
log_normal,14437.33404094449,0.5897875271330774,14437.33404094449,1080.7881014891154,4.98403553082121
