Distribution,AIC,Concordance,BIC,Mean $S(t;\theta)$,Median $S(t;\theta)$
Weibull,5520.612563419873,0.8546461545807031,5520.612563419873,24.59419009244858,3.892622403954629
Log logistic,5465.330617688725,0.8552827639989417,5465.330617688725,14.54566328632647,3.8924594099408645
Log normal,5543.896166916093,0.8546103453009273,5543.896166916093,16.026660671119746,3.87939806382757
