Distribution,AIC,Concordance,BIC,Mean $S(t;\theta)$,Median $S(t;\theta)$
Weibull,3295.294552647404,0.889871655023557,3295.294552647404,12.261542673446534,3.3847271727560755
Log logistic,3361.8531319454055,0.8692970037366259,3361.8531319454055,6.86859274690259,3.4087551694905107
Log normal,3316.9205118913196,0.8524334486039873,3316.9205118913196,5.286051683062603,3.513946019788566
