covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
model_layers,-0.006318972548427072,0.9937009501728093,0.00020211754788549053,-0.006715115662926183,-0.0059228294339279605,0.9933073803436631,0.994094675942819,0.0,-31.263849252748102,1.4474459006232628e-214,710.3591028784832
train_time,-4.580853038736118e-05,0.9999541925188073,5.877202200390609e-06,-5.7327635029986334e-05,-3.4289425744736025e-05,0.9999426740081676,0.9999657111621308,0.0,-7.7942750352058106,6.477931194264762e-15,47.13338827876798
def_value,-0.009151249586161906,0.9908904956608896,0.023014513119963387,-0.054258866423014696,0.03595636725069089,0.9471868798831771,1.036610615333041,0.0,-0.39762951049457024,0.6909033041666727,0.5334442834935829
predict_time,-0.017078915034190255,0.9830661028786466,0.00108111397581823,-0.019197859489976894,-0.014959970578403618,0.9809852457991406,0.9851513738534727,0.0,-15.797515725633142,3.2362069512464112e-56,184.33366944449355
data.sample.random_state,-0.001627895935312332,0.9983734283685688,0.002869595490751923,-0.007252199747384643,0.003996407876759979,0.9927740339974432,1.0040044041633112,0.0,-0.5672910835546974,0.5705164339172177,0.8096596504603565
atk_value,-0.5760025954503393,0.5621409861859158,0.023333034349661344,-0.6217345024257115,-0.5302706884749671,0.537012180397678,0.5884456626590148,0.0,-24.686141837300273,1.506720463752847e-134,444.54695293099354
accuracy,0.024432118340985364,1.0247330281682023,0.03106530103949366,-0.03645475286531691,0.08531898954728764,0.9642017202744312,1.0890644114593577,0.0,0.7864761493836658,0.43158858662748,1.2122713816686026
Epochs,0.000507910387438356,1.0005080393957597,0.0005877130576643563,-0.0006439860388276944,0.0016598068137044064,0.9993562212756765,1.0016611850554666,0.0,0.864214910345627,0.38746984285742836,1.3678440664439937
Atk: Deep,0.2045289649314191,1.226946993766609,0.03641818070359134,0.13315064236990848,0.2759072874929297,1.1424220825389317,1.3177256887115694,0.0,5.61612252396918,1.952902057590716e-08,25.60980516244531
Atk: FGM,3.2850557526919806,26.710473454173776,0.04117608498235654,3.204352109102201,3.36575939628176,24.639531116026117,28.955477634153436,0.0,79.78067254571647,0.0,inf
Atk: HSJ,-1.9536682029550718,0.14175313744689322,0.03901144868475303,-2.0301292373619204,-1.8772071685482234,0.13131854878896854,0.15301685985221458,0.0,-50.07935538980972,0.0,inf
Atk: PGD,1.4329611298837632,4.19109120109532,0.03831023742460252,1.3578744442923638,1.5080478154751626,3.887920521127305,4.51790240064001,0.0,37.40413075496962,3.347633577617676e-306,1014.7668554122696
Atk: Pixel,-2.42933229720589,0.08809563465044033,0.040961739893257944,-2.5096158321407733,-2.349048762271007,0.08129946588413628,0.09545992412206256,0.0,-59.30735128772554,0.0,inf
Atk: Thresh,-3.1193122445211223,0.0441875481999379,0.04352092458336376,-3.204611689278399,-3.0340127997638455,0.040574654152471544,0.04812214562777485,0.0,-71.67385055310855,0.0,inf
Def: Conf,0.020302184676357693,1.0205096758233416,0.03487895361004638,-0.048059308217776514,0.0886636775704919,0.9530772600875647,1.0927130905981102,0.0,0.5820755090115416,0.5605158208793224,0.8351730003900809
Def: Control,-0.03922330302227494,0.9615359712830386,0.0354347401855033,-0.10867411758739556,0.030227511542845677,0.8970226937914109,1.030689000925329,0.0,-1.1069166252366534,0.2683299772163111,1.8979198566682107
Def: FSQ,0.03493553854706141,1.0355529534001002,0.034251745297898956,-0.03219664864445969,0.10206772573858251,0.9683161452978625,1.1074584726311671,0.0,1.0199637490941054,0.30774565355947575,1.70018961391271
Def: Gauss-in,0.031519371878360604,1.0320213675944025,0.034487325494807715,-0.03607454401457252,0.09911328777129372,0.9645683880031232,1.104191383854446,0.0,0.9139407427550752,0.36074798360203264,1.4709367640807378
Def: Gauss-out,-0.10295275114381905,0.902169598956138,0.04006752168925624,-0.18148365060453875,-0.024421851683099363,0.8340318811090622,0.9758739488451855,0.0,-2.5694813855039342,0.010185086353383445,6.61739797765257
Data: cifar,-0.10238587339272406,0.9026811638131691,0.03880761194219816,-0.17844739512543895,-0.026324351660009182,0.8365680632779373,0.9740191136514628,0.0,-2.638293578724254,0.008332441144680118,6.907045062614952
Data: cifar100,-0.010215151363302536,0.9898368460908137,0.036850820408104966,-0.08244143216394188,0.06201112943733682,0.920865369369448,1.0639741860961718,0.0,-0.2772028207289468,0.7816243738417578,0.35545263849156095
Data: mnist,0.08704137903632546,1.0909418209055581,0.037723335063607887,0.01310500093491701,0.1609777571377339,1.0131912478029574,1.1746588407484866,0.0,2.3073617136331945,0.02103466375033539,5.5710874336885094
