,AIC,BIC,Concordance,Test Concordance,ICI,Test ICI,E50,Test E50
Cox,,,0.92,0.92,0.09,,0.07,
Gamma,,,0.51,0.52,0.26,0.14,0.17,0.12
Weibull,90537.46,90537.46,0.92,0.92,0.02,0.2,0.0,0.01
Exponential,79293.37,79293.37,0.86,0.86,0.04,0.25,0.0,0.05
Log Logistic,97863.79,97863.79,0.92,0.92,0.07,0.08,0.01,0.01
Log Normal,114312.54,114312.54,0.91,0.91,0.15,0.26,0.08,0.19
